,ROUTE,count,DEST,ORIGIN
201,"Row(_1=u'12478', _2=u'11697')",13355,FLL,JFK
202,"Row(_1=u'11697', _2=u'12478')",13334,JFK,FLL
203,"Row(_1=u'11298', _2=u'12266')",13313,IAH,DFW
204,"Row(_1=u'13204', _2=u'13930')",13267,ORD,MCO
205,"Row(_1=u'11298', _2=u'12889')",13248,LAS,DFW
206,"Row(_1=u'12889', _2=u'11298')",13246,DFW,LAS
207,"Row(_1=u'11292', _2=u'14679')",13243,SAN,DEN
208,"Row(_1=u'13930', _2=u'13204')",13241,MCO,ORD
209,"Row(_1=u'12892', _2=u'10721')",13176,BOS,LAX
210,"Row(_1=u'10721', _2=u'12892')",13145,LAX,BOS
211,"Row(_1=u'14771', _2=u'10721')",13110,BOS,SFO
212,"Row(_1=u'12889', _2=u'14679')",13083,SAN,LAS
213,"Row(_1=u'12266', _2=u'11298')",13077,DFW,IAH
214,"Row(_1=u'10721', _2=u'14771')",13061,SFO,BOS
215,"Row(_1=u'12191', _2=u'10397')",13050,ATL,HOU
216,"Row(_1=u'14679', _2=u'12889')",13047,LAS,SAN
217,"Row(_1=u'10397', _2=u'12191')",13032,HOU,ATL
218,"Row(_1=u'10821', _2=u'11697')",13018,FLL,BWI
219,"Row(_1=u'11697', _2=u'10821')",12991,BWI,FLL
220,"Row(_1=u'11433', _2=u'12953')",12957,LGA,DTW
221,"Row(_1=u'12953', _2=u'11433')",12953,DTW,LGA
222,"Row(_1=u'13930', _2=u'11618')",12918,EWR,ORD
223,"Row(_1=u'14107', _2=u'13487')",12915,MSP,PHX
224,"Row(_1=u'13487', _2=u'14107')",12912,PHX,MSP
225,"Row(_1=u'11057', _2=u'11618')",12844,EWR,CLT
226,"Row(_1=u'11618', _2=u'11057')",12835,CLT,EWR
227,"Row(_1=u'10397', _2=u'14635')",12811,RSW,ATL
228,"Row(_1=u'14635', _2=u'10397')",12805,ATL,RSW
229,"Row(_1=u'14908', _2=u'14107')",12780,PHX,SNA
230,"Row(_1=u'11042', _2=u'13930')",12767,ORD,CLE
231,"Row(_1=u'14107', _2=u'14908')",12752,SNA,PHX
232,"Row(_1=u'13204', _2=u'12953')",12536,LGA,MCO
233,"Row(_1=u'12953', _2=u'13204')",12532,MCO,LGA
234,"Row(_1=u'12889', _2=u'13930')",12487,ORD,LAS
235,"Row(_1=u'13930', _2=u'13303')",12487,MIA,ORD
236,"Row(_1=u'12953', _2=u'11057')",12473,CLT,LGA
237,"Row(_1=u'13303', _2=u'13930')",12470,ORD,MIA
238,"Row(_1=u'13930', _2=u'12889')",12466,LAS,ORD
239,"Row(_1=u'14831', _2=u'14747')",12383,SEA,SJC
240,"Row(_1=u'14747', _2=u'14831')",12371,SJC,SEA
241,"Row(_1=u'10800', _2=u'13796')",12280,OAK,BUR
242,"Row(_1=u'11057', _2=u'12953')",12237,LGA,CLT
243,"Row(_1=u'13930', _2=u'11042')",12232,CLE,ORD
244,"Row(_1=u'12339', _2=u'10397')",12232,ATL,IND
245,"Row(_1=u'11618', _2=u'13930')",12230,ORD,EWR
246,"Row(_1=u'10397', _2=u'12339')",12227,IND,ATL
247,"Row(_1=u'13796', _2=u'10800')",12211,BUR,OAK
248,"Row(_1=u'12889', _2=u'12478')",12192,JFK,LAS
249,"Row(_1=u'12478', _2=u'12889')",12187,LAS,JFK
250,"Row(_1=u'12889', _2=u'14869')",12168,SLC,LAS
251,"Row(_1=u'14869', _2=u'12889')",12151,LAS,SLC
252,"Row(_1=u'12264', _2=u'14771')",12121,SFO,IAD
253,"Row(_1=u'11298', _2=u'13303')",12095,MIA,DFW
254,"Row(_1=u'13303', _2=u'11298')",12036,DFW,MIA
255,"Row(_1=u'12264', _2=u'12892')",11999,LAX,IAD
