,ROUTE,(delay_count / count),delay_count,count
454,"Row(_1=u'ORD', _2=u'BNA')",0.334494773519,480,1435
455,"Row(_1=u'JFK', _2=u'JAX')",0.333988212181,170,509
456,"Row(_1=u'ORD', _2=u'LIT')",0.333810888252,233,698
457,"Row(_1=u'SLC', _2=u'SFO')",0.333561643836,487,1460
458,"Row(_1=u'PBI', _2=u'MDW')",0.333333333333,1,3
459,"Row(_1=u'SAV', _2=u'PHL')",0.333333333333,1,3
460,"Row(_1=u'CLE', _2=u'RIC')",0.333333333333,11,33
461,"Row(_1=u'DAL', _2=u'PDX')",0.333333333333,30,90
462,"Row(_1=u'BWI', _2=u'MYR')",0.333333333333,4,12
463,"Row(_1=u'DSM', _2=u'EWR')",0.333333333333,17,51
464,"Row(_1=u'MEM', _2=u'LAS')",0.333333333333,6,18
465,"Row(_1=u'JAC', _2=u'MSP')",0.333333333333,18,54
466,"Row(_1=u'IAD', _2=u'GRR')",0.333333333333,4,12
467,"Row(_1=u'CLE', _2=u'MSY')",0.333333333333,1,3
468,"Row(_1=u'DEN', _2=u'CPR')",0.333333333333,134,402
469,"Row(_1=u'ALB', _2=u'RSW')",0.333333333333,1,3
470,"Row(_1=u'IAH', _2=u'STT')",0.333333333333,1,3
471,"Row(_1=u'ALB', _2=u'CLE')",0.333333333333,2,6
472,"Row(_1=u'IAD', _2=u'CHS')",0.333333333333,29,87
473,"Row(_1=u'SUN', _2=u'SEA')",0.333333333333,2,6
474,"Row(_1=u'PBI', _2=u'JFK')",0.333333333333,382,1146
475,"Row(_1=u'AVL', _2=u'EWR')",0.333333333333,25,75
476,"Row(_1=u'MDW', _2=u'RNO')",0.333333333333,2,6
477,"Row(_1=u'SFO', _2=u'MFR')",0.333333333333,241,723
478,"Row(_1=u'SFO', _2=u'FCA')",0.333333333333,1,3
479,"Row(_1=u'SFO', _2=u'HDN')",0.333333333333,5,15
480,"Row(_1=u'SLC', _2=u'FAR')",0.333333333333,12,36
481,"Row(_1=u'JFK', _2=u'HNL')",0.333333333333,64,192
482,"Row(_1=u'CLE', _2=u'BUF')",0.333333333333,1,3
483,"Row(_1=u'CLE', _2=u'CMH')",0.333333333333,8,24
484,"Row(_1=u'MSY', _2=u'SFO')",0.333333333333,52,156
485,"Row(_1=u'PHL', _2=u'SAV')",0.333333333333,1,3
486,"Row(_1=u'DTW', _2=u'MLI')",0.333333333333,44,132
487,"Row(_1=u'FWA', _2=u'EWR')",0.333333333333,10,30
488,"Row(_1=u'SRQ', _2=u'CLT')",0.333333333333,7,21
489,"Row(_1=u'MDW', _2=u'PBI')",0.333333333333,1,3
490,"Row(_1=u'GUC', _2=u'IAH')",0.333333333333,16,48
491,"Row(_1=u'ATL', _2=u'RNO')",0.333333333333,2,6
492,"Row(_1=u'IAD', _2=u'JAC')",0.333333333333,9,27
493,"Row(_1=u'ANC', _2=u'IAH')",0.333333333333,1,3
494,"Row(_1=u'ALB', _2=u'EWR')",0.333333333333,27,81
495,"Row(_1=u'FCA', _2=u'SFO')",0.333333333333,1,3
496,"Row(_1=u'HOU', _2=u'JAN')",0.333333333333,17,51
497,"Row(_1=u'LGB', _2=u'IAD')",0.333333333333,7,21
498,"Row(_1=u'EYW', _2=u'LGA')",0.333333333333,1,3
499,"Row(_1=u'PBG', _2=u'FLL')",0.333333333333,39,117
500,"Row(_1=u'LGA', _2=u'EYW')",0.333333333333,1,3
501,"Row(_1=u'SEA', _2=u'SUN')",0.333333333333,2,6
502,"Row(_1=u'HOU', _2=u'LGA')",0.332547169811,141,424
503,"Row(_1=u'DEN', _2=u'COS')",0.332123411978,366,1102
504,"Row(_1=u'ORD', _2=u'SUX')",0.331730769231,69,208
505,"Row(_1=u'PBI', _2=u'BDL')",0.331460674157,59,178
506,"Row(_1=u'ORD', _2=u'SAV')",0.33125,106,320
507,"Row(_1=u'SAV', _2=u'EWR')",0.33125,106,320
508,"Row(_1=u'ASE', _2=u'DEN')",0.330971659919,327,988
509,"Row(_1=u'ORD', _2=u'TUS')",0.330708661417,126,381
510,"Row(_1=u'LAX', _2=u'SFO')",0.330670926518,2277,6886
